average_meeting_duration,mice_combination,number_of_meetings,phase,room_id,total_meeting_duration
14765.0,0065-0136667521_0065-0136661759,4,PHASE 1 light,2,59060
21837.599999999999,0065-0136667521_0065-0136661759,5,PHASE 1 light,3,109188
65181.125,0065-0136667521_0065-0136661759,8,PHASE 1 light,4,521449
212213.61417322836,0065-0136667521_0065-0136661759,127,PHASE 2 dark,1,26951129
59020.5,0065-0136667521_0065-0136661759,10,PHASE 2 dark,2,590205
7659.0,0065-0136667521_0065-0136661759,4,PHASE 2 dark,3,30636
39232.857142857145,0065-0136667521_0065-0136661759,14,PHASE 2 dark,4,549260
18133.0,0065-0136667521_0065-0136661759,2,PHASE 2 light,1,36266
709777.11428571434,0065-0136667521_0065-0136661759,35,PHASE 2 light,2,24842199
6961.666666666667,0065-0136667521_0065-0136661759,3,PHASE 2 light,3,20885
3866.0,0065-0136667521_0065-0136661759,2,PHASE 2 light,4,7732
316310.77777777775,0065-0136667521_0065-0136661759,9,PHASE 3 dark,1,2846797
174148.46376811594,0065-0136667521_0065-0136661759,69,PHASE 3 dark,2,12016244
79567.899999999994,0065-0136667521_0065-0136661759,10,PHASE 3 dark,3,795679
1211984.2222222222,0065-0136667521_0065-0136661759,9,PHASE 3 light,1,10907858
648663.43589743588,0065-0136667521_0065-0136661759,39,PHASE 3 light,2,25297874
2957.0,0065-0136667521_0065-0136661759,2,PHASE 3 light,3,5914
