mouse_id,phase,room_id,room_time
0065-0136655780,PHASE 1 light,2.0,814191.0
0065-0136655780,PHASE 1 light,3.0,482416.0
0065-0136655780,PHASE 1 light,4.0,3823962.0
0065-0136655780,PHASE 2 dark,1.0,27559302.0
0065-0136655780,PHASE 2 dark,2.0,13546408.0
0065-0136655780,PHASE 2 dark,3.0,2852236.0
0065-0136655780,PHASE 2 dark,4.0,5736055.0
0065-0136655780,PHASE 2 light,1.0,644317.0
0065-0136655780,PHASE 2 light,2.0,33794793.0
0065-0136655780,PHASE 2 light,3.0,491698.0
0065-0136655780,PHASE 2 light,4.0,171068.0
0065-0136655780,PHASE 3 dark,1.0,15429960.0
0065-0136655780,PHASE 3 dark,2.0,29647288.0
0065-0136655780,PHASE 3 dark,3.0,2194653.0
0065-0136655780,PHASE 3 dark,4.0,1294477.0
0065-0136655780,PHASE 3 light,1.0,1377235.0
0065-0136655780,PHASE 3 light,2.0,34728338.0
0065-0136655780,PHASE 3 light,3.0,771859.0
0065-0136655780,PHASE 3 light,4.0,255582.0
0065-0136673193,PHASE 1 dark,1.0,16958417.0
0065-0136673193,PHASE 1 dark,2.0,2612137.0
0065-0136673193,PHASE 1 dark,3.0,24034105.0
0065-0136673193,PHASE 1 dark,4.0,2663936.0
0065-0136673193,PHASE 1 light,1.0,33736871.0
0065-0136673193,PHASE 1 light,2.0,383483.0
0065-0136673193,PHASE 1 light,3.0,456556.0
0065-0136673193,PHASE 1 light,4.0,3575622.0
0065-0136673193,PHASE 2 dark,1.0,34667343.0
0065-0136673193,PHASE 2 dark,2.0,10963119.0
0065-0136673193,PHASE 2 dark,3.0,752584.0
0065-0136673193,PHASE 2 dark,4.0,4100970.0
0065-0136673193,PHASE 2 light,1.0,675756.0
0065-0136673193,PHASE 2 light,2.0,32248639.0
0065-0136673193,PHASE 2 light,3.0,307718.0
0065-0136673193,PHASE 2 light,4.0,766462.0
0065-0136673193,PHASE 3 dark,1.0,14086370.0
0065-0136673193,PHASE 3 dark,2.0,28973889.0
0065-0136673193,PHASE 3 dark,3.0,851507.0
0065-0136673193,PHASE 3 dark,4.0,2747077.0
0065-0136673193,PHASE 3 light,1.0,7342914.0
0065-0136673193,PHASE 3 light,2.0,30183735.0
0065-0136673193,PHASE 3 light,3.0,178725.0
0065-0136673193,PHASE 3 light,4.0,279407.0
0065-0136659288,PHASE 1 dark,1.0,25780171.0
0065-0136659288,PHASE 1 dark,2.0,7106801.0
0065-0136659288,PHASE 1 dark,3.0,7504502.0
0065-0136659288,PHASE 1 dark,4.0,6808946.0
0065-0136659288,PHASE 1 light,1.0,31779206.0
0065-0136659288,PHASE 1 light,2.0,747695.0
0065-0136659288,PHASE 1 light,3.0,589356.0
0065-0136659288,PHASE 1 light,4.0,2855122.0
0065-0136659288,PHASE 2 dark,1.0,17898779.0
0065-0136659288,PHASE 2 dark,2.0,15827495.0
0065-0136659288,PHASE 2 dark,3.0,6692859.0
0065-0136659288,PHASE 2 dark,4.0,10892377.0
0065-0136659288,PHASE 2 light,1.0,300659.0
0065-0136659288,PHASE 2 light,2.0,31551666.0
0065-0136659288,PHASE 2 light,3.0,408649.0
0065-0136659288,PHASE 2 light,4.0,1813122.0
0065-0136659288,PHASE 3 dark,1.0,18419502.0
0065-0136659288,PHASE 3 dark,2.0,17613608.0
0065-0136659288,PHASE 3 dark,3.0,4160736.0
0065-0136659288,PHASE 3 dark,4.0,5744581.0
0065-0136659288,PHASE 3 light,1.0,8843793.0
0065-0136659288,PHASE 3 light,2.0,25605576.0
0065-0136659288,PHASE 3 light,3.0,339635.0
0065-0136659288,PHASE 3 light,4.0,3404513.0
0065-0136671473,PHASE 1 dark,1.0,16368900.0
0065-0136671473,PHASE 1 dark,2.0,10696033.0
