No,Size,Intensity,Animal_number,Picture_number,Age
8.0,2.822085,199.820337,1056.0,5.0,20.0
9.0,2.797648,238.655767,1056.0,5.0,20.0
10.0,2.372157,340.602184,1056.0,5.0,20.0
11.0,2.820158,194.69112,1056.0,5.0,20.0
12.0,2.250786,198.765938,1056.0,5.0,20.0
13.0,2.50104,230.018032,1056.0,5.0,20.0
14.0,2.778526,356.20794,1056.0,5.0,20.0
15.0,2.61505,267.138518,1056.0,5.0,20.0
16.0,2.812696,267.512199,1056.0,5.0,20.0
17.0,2.343241,306.635006,1056.0,5.0,20.0
18.0,2.627708,326.133652,1056.0,5.0,20.0
19.0,2.566275,208.715633,1056.0,5.0,20.0
20.0,2.570635,392.853415,1056.0,5.0,20.0
21.0,2.430044,348.577889,1056.0,5.0,20.0
22.0,2.204323,382.408229,1056.0,5.0,20.0
23.0,2.404919,322.092651,1056.0,5.0,20.0
24.0,2.549593,316.84755,1056.0,5.0,20.0
25.0,2.231244,211.478447,1056.0,5.0,20.0
26.0,2.642496,264.709732,1056.0,5.0,20.0
27.0,2.540919,292.864256,1056.0,5.0,20.0
28.0,2.677458,382.848801,1056.0,5.0,20.0
29.0,2.426312,390.992647,1056.0,5.0,20.0
30.0,2.415413,300.426838,1056.0,5.0,20.0
31.0,2.679403,381.264831,1056.0,5.0,20.0
32.0,2.807793,301.34237,1056.0,5.0,20.0
33.0,2.264947,288.891925,1056.0,5.0,20.0
34.0,2.685929,242.07044,1056.0,5.0,20.0
35.0,2.265964,231.944194,1056.0,5.0,20.0
36.0,2.213894,366.11098,1056.0,5.0,20.0
37.0,2.478953,342.923785,1056.0,5.0,20.0
38.0,2.560255,291.26603,1056.0,5.0,20.0
39.0,2.767593,351.557041,1056.0,5.0,20.0
1.0,2.803725,286.349405,1056.0,6.0,20.0
2.0,2.665563,278.969391,1056.0,6.0,20.0
3.0,2.324163,326.290758,1056.0,6.0,20.0
4.0,2.445986,180.783299,1056.0,6.0,20.0
5.0,2.45167,383.682445,1056.0,6.0,20.0
6.0,2.892924,387.758976,1056.0,6.0,20.0
7.0,2.515898,427.527893,1056.0,6.0,20.0
8.0,2.526597,419.485302,1056.0,6.0,20.0
9.0,2.458909,267.981709,1056.0,6.0,20.0
10.0,2.305979,345.22977,1056.0,6.0,20.0
11.0,2.70855,371.439488,1056.0,6.0,20.0
12.0,2.330454,307.045572,1056.0,6.0,20.0
13.0,2.503008,303.17549,1056.0,6.0,20.0
14.0,2.793043,369.710884,1056.0,6.0,20.0
15.0,2.28792,318.579262,1056.0,6.0,20.0
16.0,2.55773,342.185858,1056.0,6.0,20.0
17.0,2.270792,347.116709,1056.0,6.0,20.0
18.0,2.602116,258.79529,1056.0,6.0,20.0
19.0,2.469669,296.89891,1056.0,6.0,20.0
20.0,2.770684,377.250195,1056.0,6.0,20.0
21.0,2.276804,249.763924,1056.0,6.0,20.0
22.0,2.555153,308.710047,1056.0,6.0,20.0
23.0,2.246214,353.437709,1056.0,6.0,20.0
24.0,2.368596,377.592709,1056.0,6.0,20.0
25.0,2.799297,241.214838,1056.0,6.0,20.0
26.0,2.26839,272.795835,1056.0,6.0,20.0
27.0,2.562007,329.492622,1056.0,6.0,20.0
28.0,2.497345,312.003429,1056.0,6.0,20.0
29.0,2.321702,240.662675,1056.0,6.0,20.0
30.0,2.227748,337.290007,1056.0,6.0,20.0
31.0,2.460151,216.11309,1056.0,6.0,20.0
32.0,2.274565,362.179548,1056.0,6.0,20.0
33.0,2.500489,335.980364,1056.0,6.0,20.0
34.0,2.879186,387.14236,1056.0,6.0,20.0
35.0,2.703566,310.594899,1056.0,6.0,20.0
36.0,2.205555,327.113502,1056.0,6.0,20.0
37.0,2.223437,391.679853,1056.0,6.0,20.0
38.0,2.257709,325.372545,1056.0,6.0,20.0
39.0,2.793937,253.909795,1056.0,6.0,20.0
40.0,2.633179,365.324964,1056.0,6.0,20.0
41.0,2.683014,305.301457,1056.0,6.0,20.0
42.0,2.421697,270.461446,1056.0,6.0,20.0
43.0,2.324341,457.913753,1056.0,6.0,20.0
44.0,2.584133,366.697206,1056.0,6.0,20.0
45.0,2.718484,295.827913,1056.0,6.0,20.0
46.0,2.416041,291.4524,1056.0,6.0,20.0
47.0,2.379557,254.052591,1056.0,6.0,20.0
48.0,2.316091,273.057982,1056.0,6.0,20.0
49.0,2.827885,237.921012,1056.0,6.0,20.0
1.0,2.262532,196.855962,1056.0,7.0,20.0
2.0,2.388866,211.951276,1056.0,7.0,20.0
3.0,2.382769,354.561265,1056.0,7.0,20.0
4.0,2.592421,363.18791,1056.0,7.0,20.0
5.0,2.576926,260.556069,1056.0,7.0,20.0
6.0,2.714996,308.482996,1056.0,7.0,20.0
7.0,2.23775,356.518722,1056.0,7.0,20.0
8.0,2.240982,316.133856,1056.0,7.0,20.0
9.0,2.455149,313.521159,1056.0,7.0,20.0
10.0,2.306907,339.187518,1056.0,7.0,20.0
11.0,2.746611,395.829509,1056.0,7.0,20.0
12.0,2.438998,323.950803,1056.0,7.0,20.0
13.0,2.284743,217.901928,1056.0,7.0,20.0
14.0,2.879402,262.165187,1056.0,7.0,20.0
15.0,2.756708,265.237254,1056.0,7.0,20.0
16.0,2.400361,307.848459,1056.0,7.0,20.0
17.0,2.826962,274.103597,1056.0,7.0,20.0
18.0,2.593327,267.31177,1056.0,7.0,20.0
19.0,2.293752,385.064202,1056.0,7.0,20.0
20.0,2.469694,380.878471,1056.0,7.0,20.0
21.0,2.201907,333.791077,1056.0,7.0,20.0
22.0,2.460822,350.230718,1056.0,7.0,20.0
23.0,2.777843,327.060257,1056.0,7.0,20.0
24.0,2.566609,250.362658,1056.0,7.0,20.0
25.0,2.551136,344.392299,1056.0,7.0,20.0
26.0,2.624118,274.054717,1056.0,7.0,20.0
27.0,2.469134,256.208456,1056.0,7.0,20.0
28.0,2.412404,341.867072,1056.0,7.0,20.0
29.0,2.605967,283.758206,1056.0,7.0,20.0
30.0,2.271843,253.133762,1056.0,7.0,20.0
31.0,2.407712,347.32183,1056.0,7.0,20.0
32.0,2.810903,348.502754,1056.0,7.0,20.0
33.0,2.490249,291.077779,1056.0,7.0,20.0
34.0,2.448551,332.636015,1056.0,7.0,20.0
35.0,2.62116,240.672603,1056.0,7.0,20.0
36.0,2.268737,278.443102,1056.0,7.0,20.0
37.0,2.793742,307.434828,1056.0,7.0,20.0
38.0,2.201917,262.826938,1056.0,7.0,20.0
39.0,2.717175,346.824423,1056.0,7.0,20.0
