No,Size,Intensity,Animal_number,Picture_number,Age
18.0,2.689621,271.82233,912.0,3.0,23.0
19.0,2.087225,252.623271,912.0,3.0,23.0
20.0,2.149139,308.438272,912.0,3.0,23.0
21.0,2.468318,379.699008,912.0,3.0,23.0
22.0,2.356862,320.374033,912.0,3.0,23.0
23.0,2.065598,295.682492,912.0,3.0,23.0
24.0,2.103031,292.329675,912.0,3.0,23.0
25.0,2.141303,285.06275,912.0,3.0,23.0
26.0,2.04802,305.321364,912.0,3.0,23.0
27.0,2.502736,268.814165,912.0,3.0,23.0
28.0,2.46513,357.246162,912.0,3.0,23.0
29.0,2.084931,434.418142,912.0,3.0,23.0
30.0,2.459232,447.598211,912.0,3.0,23.0
31.0,2.403249,302.998775,912.0,3.0,23.0
32.0,2.03727,399.373333,912.0,3.0,23.0
33.0,2.082326,382.599994,912.0,3.0,23.0
34.0,2.239688,240.167949,912.0,3.0,23.0
35.0,2.252077,240.364836,912.0,3.0,23.0
36.0,2.525325,290.43566,912.0,3.0,23.0
37.0,2.158126,308.546981,912.0,3.0,23.0
38.0,2.456009,343.36692,912.0,3.0,23.0
39.0,2.297204,266.923264,912.0,3.0,23.0
40.0,2.454641,234.952035,912.0,3.0,23.0
41.0,2.363614,272.905093,912.0,3.0,23.0
42.0,2.299122,315.659119,912.0,3.0,23.0
43.0,2.187063,231.42903,912.0,3.0,23.0
44.0,2.510345,209.938702,912.0,3.0,23.0
45.0,2.281064,330.97449,912.0,3.0,23.0
46.0,2.446172,311.635204,912.0,3.0,23.0
47.0,2.117613,242.13915,912.0,3.0,23.0
48.0,2.181142,336.434781,912.0,3.0,23.0
1.0,2.550962,257.800641,1234.0,2.0,19.0
2.0,2.988046,380.8524,1234.0,2.0,19.0
3.0,2.519835,286.276612,1234.0,2.0,19.0
4.0,2.645532,276.65143,1234.0,2.0,19.0
5.0,2.78767,342.57561,1234.0,2.0,19.0
6.0,2.740544,354.445353,1234.0,2.0,19.0
7.0,2.5439,272.9207,1234.0,2.0,19.0
8.0,2.947667,275.271102,1234.0,2.0,19.0
9.0,2.555383,232.036841,1234.0,2.0,19.0
10.0,2.693484,291.011497,1234.0,2.0,19.0
11.0,2.64059,334.943452,1234.0,2.0,19.0
12.0,2.687005,285.095497,1234.0,2.0,19.0
13.0,2.505078,188.414271,1234.0,2.0,19.0
14.0,2.753661,266.862602,1234.0,2.0,19.0
15.0,2.713601,426.037132,1234.0,2.0,19.0
16.0,2.642069,320.114446,1234.0,2.0,19.0
17.0,2.79066,305.3098,1234.0,2.0,19.0
18.0,2.91391,418.797374,1234.0,2.0,19.0
19.0,2.990939,295.828998,1234.0,2.0,19.0
20.0,2.81345,316.06931,1234.0,2.0,19.0
21.0,2.957242,245.586983,1234.0,2.0,19.0
22.0,2.795168,300.097119,1234.0,2.0,19.0
23.0,2.610969,317.035223,1234.0,2.0,19.0
24.0,2.64111,228.878217,1234.0,2.0,19.0
25.0,3.078622,306.865039,1234.0,2.0,19.0
26.0,2.866677,320.705367,1234.0,2.0,19.0
27.0,2.706632,265.860686,1234.0,2.0,19.0
28.0,2.631704,318.683467,1234.0,2.0,19.0
29.0,2.814047,270.051414,1234.0,2.0,19.0
30.0,2.500445,324.130654,1234.0,2.0,19.0
31.0,2.679965,243.737859,1234.0,2.0,19.0
32.0,2.987201,290.731151,1234.0,2.0,19.0
33.0,3.030685,300.277371,1234.0,2.0,19.0
1.0,2.849454,287.734708,1234.0,3.0,19.0
2.0,2.643461,210.312796,1234.0,3.0,19.0
3.0,2.565916,274.712667,1234.0,3.0,19.0
4.0,2.797792,247.775109,1234.0,3.0,19.0
5.0,2.563944,224.740645,1234.0,3.0,19.0
6.0,3.192934,318.330016,1234.0,3.0,19.0
7.0,3.19415,234.552791,1234.0,3.0,19.0
8.0,3.142635,293.351304,1234.0,3.0,19.0
9.0,2.554085,351.702965,1234.0,3.0,19.0
10.0,3.189058,228.702237,1234.0,3.0,19.0
11.0,3.066778,352.779674,1234.0,3.0,19.0
12.0,2.910703,296.285489,1234.0,3.0,19.0
13.0,3.016507,246.693635,1234.0,3.0,19.0
14.0,2.971448,377.878263,1234.0,3.0,19.0
15.0,2.802491,332.127556,1234.0,3.0,19.0
16.0,2.547205,267.5847,1234.0,3.0,19.0
17.0,2.953086,287.855909,1234.0,3.0,19.0
18.0,3.119534,304.544728,1234.0,3.0,19.0
19.0,2.919955,294.81442,1234.0,3.0,19.0
20.0,2.566447,272.988733,1234.0,3.0,19.0
21.0,3.083153,213.214439,1234.0,3.0,19.0
22.0,2.56874,329.990373,1234.0,3.0,19.0
23.0,3.174792,221.843518,1234.0,3.0,19.0
24.0,2.523203,306.612504,1234.0,3.0,19.0
25.0,2.589781,307.645896,1234.0,3.0,19.0
26.0,3.062414,329.272416,1234.0,3.0,19.0
27.0,2.981057,274.442529,1234.0,3.0,19.0
28.0,3.138148,178.835895,1234.0,3.0,19.0
29.0,2.515258,500.130619,1234.0,3.0,19.0
30.0,2.839116,229.614934,1234.0,3.0,19.0
31.0,2.64317,251.964982,1234.0,3.0,19.0
32.0,2.659873,289.730912,1234.0,3.0,19.0
33.0,3.173376,353.652737,1234.0,3.0,19.0
34.0,3.033593,322.700835,1234.0,3.0,19.0
35.0,2.782522,100.153282,1234.0,3.0,19.0
36.0,3.118995,198.972433,1234.0,3.0,19.0
37.0,3.187913,265.181697,1234.0,3.0,19.0
38.0,3.119951,264.159971,1234.0,3.0,19.0
39.0,3.075072,280.956561,1234.0,3.0,19.0
40.0,2.733333,322.138285,1234.0,3.0,19.0
41.0,2.821082,282.223837,1234.0,3.0,19.0
42.0,2.535,331.185688,1234.0,3.0,19.0
43.0,2.522597,377.863705,1234.0,3.0,19.0
44.0,2.861586,317.032838,1234.0,3.0,19.0
45.0,3.172555,305.150688,1234.0,3.0,19.0
46.0,2.655668,310.524357,1234.0,3.0,19.0
1.0,2.933719,289.463765,1234.0,4.0,19.0
2.0,2.651914,261.024614,1234.0,4.0,19.0
3.0,2.872737,299.058785,1234.0,4.0,19.0
4.0,3.132577,318.23882,1234.0,4.0,19.0
5.0,3.08796,304.483463,1234.0,4.0,19.0
6.0,2.787968,233.239537,1234.0,4.0,19.0
7.0,2.829034,286.365599,1234.0,4.0,19.0
8.0,2.54152,199.560566,1234.0,4.0,19.0
9.0,3.10643,333.419908,1234.0,4.0,19.0
10.0,2.794909,434.894963,1234.0,4.0,19.0
11.0,3.054804,282.535226,1234.0,4.0,19.0
12.0,2.780817,408.527137,1234.0,4.0,19.0
13.0,3.152692,247.318997,1234.0,4.0,19.0
14.0,2.989594,359.496357,1234.0,4.0,19.0
15.0,2.649202,294.380662,1234.0,4.0,19.0
16.0,2.834923,243.80741,1234.0,4.0,19.0
17.0,2.909821,412.902745,1234.0,4.0,19.0
18.0,2.837048,300.696163,1234.0,4.0,19.0
19.0,2.787372,301.438926,1234.0,4.0,19.0
20.0,2.883139,351.707244,1234.0,4.0,19.0
21.0,3.174072,245.924739,1234.0,4.0,19.0
22.0,2.70195,372.75643,1234.0,4.0,19.0
23.0,2.572202,342.03005,1234.0,4.0,19.0
24.0,2.672903,343.899133,1234.0,4.0,19.0
25.0,2.810762,296.249503,1234.0,4.0,19.0
26.0,2.570491,193.265366,1234.0,4.0,19.0
27.0,3.151494,285.428061,1234.0,4.0,19.0
28.0,2.934199,358.914115,1234.0,4.0,19.0
29.0,3.118943,264.827216,1234.0,4.0,19.0
30.0,2.558948,368.466886,1234.0,4.0,19.0
31.0,2.826822,350.8794,1234.0,4.0,19.0
32.0,2.830857,284.188887,1234.0,4.0,19.0
33.0,2.661512,323.784501,1234.0,4.0,19.0
34.0,3.015842,282.863881,1234.0,4.0,19.0
1.0,2.798464,276.115537,1234.0,5.0,19.0
2.0,2.818166,378.099319,1234.0,5.0,19.0
3.0,2.983627,289.364318,1234.0,5.0,19.0
4.0,3.131231,312.32143,1234.0,5.0,19.0
5.0,2.671744,406.224695,1234.0,5.0,19.0
6.0,2.991217,338.52601,1234.0,5.0,19.0
7.0,2.683085,255.442579,1234.0,5.0,19.0
8.0,3.189293,242.405367,1234.0,5.0,19.0
9.0,2.812977,322.169513,1234.0,5.0,19.0
10.0,2.994588,433.153987,1234.0,5.0,19.0
11.0,2.604158,264.632998,1234.0,5.0,19.0
12.0,2.623308,252.133072,1234.0,5.0,19.0
13.0,3.013161,323.474699,1234.0,5.0,19.0
14.0,2.953168,236.423741,1234.0,5.0,19.0
15.0,3.112764,297.369765,1234.0,5.0,19.0
16.0,2.630737,303.229837,1234.0,5.0,19.0
17.0,2.95333,243.589528,1234.0,5.0,19.0
18.0,2.908678,337.156226,1234.0,5.0,19.0
19.0,2.764124,344.93581,1234.0,5.0,19.0
20.0,2.64545,344.602325,1234.0,5.0,19.0
21.0,3.037441,450.684231,1234.0,5.0,19.0
22.0,2.787141,339.739837,1234.0,5.0,19.0
23.0,3.122603,262.722082,1234.0,5.0,19.0
24.0,2.52808,291.884558,1234.0,5.0,19.0
25.0,2.772253,183.256802,1234.0,5.0,19.0
26.0,2.587394,305.901673,1234.0,5.0,19.0
27.0,2.87367,255.648198,1234.0,5.0,19.0
28.0,2.892025,227.796926,1234.0,5.0,19.0
29.0,2.509535,362.211608,1234.0,5.0,19.0
30.0,2.792719,278.028885,1234.0,5.0,19.0
31.0,2.856249,120.696381,1234.0,5.0,19.0
32.0,3.119005,419.285768,1234.0,5.0,19.0
33.0,3.171887,392.093679,1234.0,5.0,19.0
34.0,2.565524,354.189757,1234.0,5.0,19.0
35.0,2.636644,322.833768,1234.0,5.0,19.0
36.0,2.705703,222.319699,1234.0,5.0,19.0
37.0,2.828889,409.133933,1234.0,5.0,19.0
38.0,2.846033,223.962222,1234.0,5.0,19.0
39.0,2.942379,299.126348,1234.0,5.0,19.0
40.0,2.754093,281.906167,1234.0,5.0,19.0
41.0,2.520835,313.293455,1234.0,5.0,19.0
42.0,2.774355,382.36553,1234.0,5.0,19.0
43.0,2.615299,249.047315,1234.0,5.0,19.0
44.0,2.705953,299.656066,1234.0,5.0,19.0
45.0,3.140707,206.504903,1234.0,5.0,19.0
46.0,2.614216,299.281338,1234.0,5.0,19.0
47.0,2.694762,184.760936,1234.0,5.0,19.0
48.0,2.641417,313.819823,1234.0,5.0,19.0
1.0,3.009863,316.219588,1234.0,6.0,19.0
2.0,2.752955,347.642176,1234.0,6.0,19.0
3.0,2.956306,228.841698,1234.0,6.0,19.0
4.0,2.683183,251.17028,1234.0,6.0,19.0
5.0,2.853837,321.733966,1234.0,6.0,19.0
6.0,3.035934,284.366648,1234.0,6.0,19.0
7.0,2.885524,329.583183,1234.0,6.0,19.0
8.0,2.669153,307.747656,1234.0,6.0,19.0
9.0,2.64712,291.929541,1234.0,6.0,19.0
10.0,2.827908,273.549651,1234.0,6.0,19.0
11.0,2.675328,215.762291,1234.0,6.0,19.0
12.0,3.134658,301.02342,1234.0,6.0,19.0
13.0,3.069331,280.227775,1234.0,6.0,19.0
14.0,3.000856,308.005897,1234.0,6.0,19.0
15.0,3.067884,351.718612,1234.0,6.0,19.0
16.0,3.094625,382.686256,1234.0,6.0,19.0
17.0,3.040251,246.250038,1234.0,6.0,19.0
18.0,2.778006,228.849116,1234.0,6.0,19.0
19.0,2.535393,246.899415,1234.0,6.0,19.0
20.0,2.809296,342.944708,1234.0,6.0,19.0
21.0,2.744796,244.518579,1234.0,6.0,19.0
22.0,2.626081,356.238053,1234.0,6.0,19.0
23.0,2.956514,314.948544,1234.0,6.0,19.0
24.0,3.023285,254.985186,1234.0,6.0,19.0
25.0,2.504537,286.964641,1234.0,6.0,19.0
26.0,2.796235,283.752864,1234.0,6.0,19.0
27.0,3.112392,381.362501,1234.0,6.0,19.0
28.0,2.982653,241.199727,1234.0,6.0,19.0
29.0,2.968923,339.58935,1234.0,6.0,19.0
30.0,3.083448,226.281201,1234.0,6.0,19.0
31.0,2.510563,211.648677,1234.0,6.0,19.0
32.0,2.816073,305.893524,1234.0,6.0,19.0
33.0,3.080836,331.717742,1234.0,6.0,19.0
34.0,2.978587,314.705626,1234.0,6.0,19.0
35.0,3.021049,278.549311,1234.0,6.0,19.0
36.0,2.671481,335.766828,1234.0,6.0,19.0
37.0,3.016641,192.725039,1234.0,6.0,19.0
38.0,2.931699,332.605864,1234.0,6.0,19.0
39.0,3.07125,252.981535,1234.0,6.0,19.0
40.0,3.083976,219.292875,1234.0,6.0,19.0
41.0,2.771197,224.163225,1234.0,6.0,19.0
1.0,2.943671,218.83968,1234.0,7.0,19.0
2.0,2.820538,361.637408,1234.0,7.0,19.0
3.0,2.893322,236.90706,1234.0,7.0,19.0
4.0,2.568231,332.753842,1234.0,7.0,19.0
5.0,2.653315,386.919079,1234.0,7.0,19.0
6.0,3.125901,209.240483,1234.0,7.0,19.0
7.0,2.81441,340.77709,1234.0,7.0,19.0
8.0,2.544428,204.712126,1234.0,7.0,19.0
9.0,2.547173,183.865247,1234.0,7.0,19.0
10.0,2.760401,334.988333,1234.0,7.0,19.0
11.0,3.066189,291.293447,1234.0,7.0,19.0
12.0,3.102378,224.430095,1234.0,7.0,19.0
13.0,2.515602,415.493121,1234.0,7.0,19.0
14.0,3.176798,372.228143,1234.0,7.0,19.0
15.0,3.142598,261.757391,1234.0,7.0,19.0
16.0,3.160874,242.741308,1234.0,7.0,19.0
17.0,2.55208,259.808716,1234.0,7.0,19.0
18.0,2.619014,407.828263,1234.0,7.0,19.0
19.0,2.639757,148.060249,1234.0,7.0,19.0
20.0,3.002516,232.261879,1234.0,7.0,19.0
21.0,2.517139,364.360039,1234.0,7.0,19.0
22.0,2.848304,237.417591,1234.0,7.0,19.0
23.0,2.700607,365.583771,1234.0,7.0,19.0
24.0,2.943848,306.503933,1234.0,7.0,19.0
25.0,2.646197,318.235364,1234.0,7.0,19.0
26.0,2.928873,298.155315,1234.0,7.0,19.0
27.0,2.525658,362.033889,1234.0,7.0,19.0
28.0,2.655806,284.725194,1234.0,7.0,19.0
29.0,3.04098,323.618041,1234.0,7.0,19.0
30.0,2.953509,359.203603,1234.0,7.0,19.0
31.0,2.862833,233.057473,1234.0,7.0,19.0
32.0,2.508682,269.790187,1234.0,7.0,19.0
33.0,2.86883,448.670837,1234.0,7.0,19.0
34.0,2.709913,303.875726,1234.0,7.0,19.0
35.0,3.093986,192.553057,1234.0,7.0,19.0
36.0,2.766661,292.636043,1234.0,7.0,19.0
37.0,3.193026,207.181031,1234.0,7.0,19.0
38.0,2.571743,260.315489,1234.0,7.0,19.0
39.0,3.037433,351.49394,1234.0,7.0,19.0
40.0,2.844011,162.131345,1234.0,7.0,19.0
41.0,2.908757,292.30278,1234.0,7.0,19.0
42.0,3.170166,357.030364,1234.0,7.0,19.0
43.0,3.048287,331.144166,1234.0,7.0,19.0
1.0,2.67724,274.763519,1234.0,8.0,19.0
2.0,2.744464,350.941782,1234.0,8.0,19.0
3.0,2.627532,422.72357,1234.0,8.0,19.0
4.0,2.739572,405.220312,1234.0,8.0,19.0
5.0,2.620969,326.495195,1234.0,8.0,19.0
6.0,2.577267,227.048926,1234.0,8.0,19.0
7.0,2.996388,308.473144,1234.0,8.0,19.0
8.0,3.095162,229.341233,1234.0,8.0,19.0
9.0,2.605515,149.941481,1234.0,8.0,19.0
10.0,3.051328,352.911032,1234.0,8.0,19.0
11.0,2.814149,197.985009,1234.0,8.0,19.0
12.0,2.861183,254.102015,1234.0,8.0,19.0
13.0,2.893256,323.933839,1234.0,8.0,19.0
14.0,2.800821,283.14247,1234.0,8.0,19.0
15.0,3.169707,302.854737,1234.0,8.0,19.0
16.0,2.815354,296.576117,1234.0,8.0,19.0
17.0,3.143761,213.870541,1234.0,8.0,19.0
18.0,2.793813,184.79811,1234.0,8.0,19.0
19.0,2.885168,280.505092,1234.0,8.0,19.0
20.0,3.059743,322.043674,1234.0,8.0,19.0
21.0,2.949101,247.491451,1234.0,8.0,19.0
22.0,2.685414,246.406582,1234.0,8.0,19.0
23.0,2.722001,255.904784,1234.0,8.0,19.0
24.0,2.712682,229.062665,1234.0,8.0,19.0
25.0,2.762329,290.627637,1234.0,8.0,19.0
26.0,2.747524,351.817,1234.0,8.0,19.0
27.0,3.092953,257.408239,1234.0,8.0,19.0
28.0,2.690203,391.367684,1234.0,8.0,19.0
29.0,3.021243,178.76032,1234.0,8.0,19.0
30.0,2.751557,229.905654,1234.0,8.0,19.0
31.0,3.198829,287.533909,1234.0,8.0,19.0
32.0,3.127428,250.415718,1234.0,8.0,19.0
33.0,3.092136,277.835537,1234.0,8.0,19.0
34.0,3.138462,238.679323,1234.0,8.0,19.0
35.0,2.681495,340.253551,1234.0,8.0,19.0
36.0,2.614947,332.006222,1234.0,8.0,19.0
37.0,3.106608,421.438145,1234.0,8.0,19.0
38.0,2.87147,314.415858,1234.0,8.0,19.0
39.0,3.08647,257.298127,1234.0,8.0,19.0
40.0,2.747278,323.915042,1234.0,8.0,19.0
41.0,3.083789,317.970949,1234.0,8.0,19.0
42.0,3.12284,234.080558,1234.0,8.0,19.0
43.0,2.985744,350.86277,1234.0,8.0,19.0
44.0,2.706751,245.359421,1234.0,8.0,19.0
45.0,2.865088,251.102648,1234.0,8.0,19.0
46.0,3.098849,286.912677,1234.0,8.0,19.0
47.0,2.635103,261.87454,1234.0,8.0,19.0
48.0,2.648273,217.287744,1234.0,8.0,19.0
1.0,2.550837,248.405091,1334.0,1.0,18.0
2.0,2.533623,239.955909,1334.0,1.0,18.0
3.0,2.710182,248.999653,1334.0,1.0,18.0
4.0,2.483366,234.023512,1334.0,1.0,18.0
5.0,2.919119,191.16375,1334.0,1.0,18.0
6.0,2.723684,200.437496,1334.0,1.0,18.0
7.0,2.854931,538.258591,1334.0,1.0,18.0
8.0,3.089119,294.490388,1334.0,1.0,18.0
9.0,2.544926,290.724519,1334.0,1.0,18.0
10.0,2.599681,259.063397,1334.0,1.0,18.0
11.0,2.872948,250.844374,1334.0,1.0,18.0
12.0,2.897839,369.358446,1334.0,1.0,18.0
13.0,2.965197,289.673225,1334.0,1.0,18.0
14.0,2.858627,266.797668,1334.0,1.0,18.0
15.0,2.824638,198.100136,1334.0,1.0,18.0
16.0,2.511933,214.9089,1334.0,1.0,18.0
17.0,2.780508,243.108874,1334.0,1.0,18.0
18.0,2.432152,282.558986,1334.0,1.0,18.0
19.0,2.754815,253.937518,1334.0,1.0,18.0
20.0,2.731505,311.129483,1334.0,1.0,18.0
21.0,2.96963,238.12634,1334.0,1.0,18.0
22.0,2.689298,327.119385,1334.0,1.0,18.0
23.0,2.560381,379.475395,1334.0,1.0,18.0
24.0,2.446982,319.668028,1334.0,1.0,18.0
25.0,2.665334,335.826512,1334.0,1.0,18.0
26.0,2.801457,322.449813,1334.0,1.0,18.0
27.0,2.478604,298.285931,1334.0,1.0,18.0
28.0,2.816777,342.904559,1334.0,1.0,18.0
29.0,2.662929,292.185116,1334.0,1.0,18.0
30.0,2.44665,305.322393,1334.0,1.0,18.0
31.0,2.641179,235.067977,1334.0,1.0,18.0
32.0,2.603813,243.222146,1334.0,1.0,18.0
33.0,2.77062,305.347094,1334.0,1.0,18.0
1.0,2.826944,337.495301,1334.0,2.0,18.0
2.0,2.743627,295.031297,1334.0,2.0,18.0
3.0,2.888774,297.101943,1334.0,2.0,18.0
4.0,2.970948,310.49027,1334.0,2.0,18.0
5.0,2.882605,365.702169,1334.0,2.0,18.0
6.0,2.7466,237.145465,1334.0,2.0,18.0
7.0,2.443575,290.729349,1334.0,2.0,18.0
8.0,2.710034,155.649491,1334.0,2.0,18.0
9.0,3.000325,312.340971,1334.0,2.0,18.0
10.0,2.904425,347.980476,1334.0,2.0,18.0
11.0,2.889398,279.715972,1334.0,2.0,18.0
12.0,2.939641,282.99095,1334.0,2.0,18.0
13.0,2.984478,327.738816,1334.0,2.0,18.0
14.0,2.404897,260.431689,1334.0,2.0,18.0
15.0,2.485256,275.984023,1334.0,2.0,18.0
16.0,2.552945,242.616516,1334.0,2.0,18.0
17.0,3.063489,325.759028,1334.0,2.0,18.0
18.0,2.427285,296.319523,1334.0,2.0,18.0
19.0,2.410691,396.985517,1334.0,2.0,18.0
20.0,2.653906,235.034426,1334.0,2.0,18.0
21.0,2.41155,314.090264,1334.0,2.0,18.0
22.0,2.949574,227.604098,1334.0,2.0,18.0
23.0,2.575717,245.291101,1334.0,2.0,18.0
24.0,2.80344,305.815926,1334.0,2.0,18.0
25.0,2.997647,284.71844,1334.0,2.0,18.0
26.0,2.66877,142.216394,1334.0,2.0,18.0
27.0,2.891972,391.027087,1334.0,2.0,18.0
28.0,2.638209,144.175986,1334.0,2.0,18.0
29.0,2.673544,449.355944,1334.0,2.0,18.0
30.0,2.761326,278.002133,1334.0,2.0,18.0
31.0,3.09664,350.677447,1334.0,2.0,18.0
32.0,2.897244,265.193096,1334.0,2.0,18.0
33.0,2.762419,293.660168,1334.0,2.0,18.0
34.0,2.805574,332.44766,1334.0,2.0,18.0
35.0,2.896212,226.348451,1334.0,2.0,18.0
36.0,2.90581,371.318702,1334.0,2.0,18.0
37.0,2.800423,151.292437,1334.0,2.0,18.0
38.0,2.489456,293.925229,1334.0,2.0,18.0
39.0,2.687996,267.108468,1334.0,2.0,18.0
40.0,2.480813,290.986086,1334.0,2.0,18.0
41.0,2.766886,334.689708,1334.0,2.0,18.0
1.0,2.776651,292.682175,1334.0,3.0,18.0
2.0,3.002422,318.555477,1334.0,3.0,18.0
3.0,2.70253,279.132573,1334.0,3.0,18.0
4.0,2.620254,237.878923,1334.0,3.0,18.0
5.0,3.082004,316.803057,1334.0,3.0,18.0
6.0,3.038917,323.298459,1334.0,3.0,18.0
7.0,2.467278,303.367324,1334.0,3.0,18.0
8.0,2.799044,152.23918,1334.0,3.0,18.0
9.0,2.597399,274.907006,1334.0,3.0,18.0
10.0,2.840506,335.385466,1334.0,3.0,18.0
11.0,2.577933,211.162069,1334.0,3.0,18.0
12.0,3.087662,370.268946,1334.0,3.0,18.0
13.0,2.504114,311.046505,1334.0,3.0,18.0
14.0,2.592692,350.386761,1334.0,3.0,18.0
15.0,3.016935,349.139923,1334.0,3.0,18.0
16.0,2.748047,347.598007,1334.0,3.0,18.0
17.0,3.08786,295.099511,1334.0,3.0,18.0
18.0,3.001025,149.404427,1334.0,3.0,18.0
19.0,2.95137,199.409667,1334.0,3.0,18.0
20.0,2.617494,298.872557,1334.0,3.0,18.0
21.0,2.455143,332.743234,1334.0,3.0,18.0
22.0,2.706997,291.053425,1334.0,3.0,18.0
23.0,2.860566,300.444639,1334.0,3.0,18.0
24.0,2.496059,428.589438,1334.0,3.0,18.0
25.0,3.063982,307.114017,1334.0,3.0,18.0
26.0,2.682102,283.139064,1334.0,3.0,18.0
27.0,2.967243,317.880887,1334.0,3.0,18.0
28.0,2.760657,302.199832,1334.0,3.0,18.0
29.0,2.963978,293.751372,1334.0,3.0,18.0
30.0,2.612623,248.441445,1334.0,3.0,18.0
31.0,2.413655,244.762879,1334.0,3.0,18.0
32.0,2.416716,302.560415,1334.0,3.0,18.0
1.0,2.268511,391.848244,912.0,4.0,23.0
2.0,2.272017,329.627896,912.0,4.0,23.0
3.0,2.050113,361.215457,912.0,4.0,23.0
4.0,2.44726,309.582668,912.0,4.0,23.0
5.0,2.637918,187.920521,912.0,4.0,23.0
6.0,2.373963,298.97014,912.0,4.0,23.0
7.0,2.493969,386.176613,912.0,4.0,23.0
8.0,2.48802,255.718137,912.0,4.0,23.0
9.0,2.384778,319.274167,912.0,4.0,23.0
10.0,2.132128,308.288579,912.0,4.0,23.0
11.0,2.264348,297.292147,912.0,4.0,23.0
12.0,2.002299,273.725917,912.0,4.0,23.0
13.0,2.498856,284.282298,912.0,4.0,23.0
14.0,2.083764,343.668832,912.0,4.0,23.0
15.0,2.595661,307.015908,912.0,4.0,23.0
16.0,2.646668,374.531683,912.0,4.0,23.0
17.0,2.111362,271.689237,912.0,4.0,23.0
18.0,2.004945,305.74042,912.0,4.0,23.0
19.0,2.008615,212.611223,912.0,4.0,23.0
20.0,2.372395,309.280776,912.0,4.0,23.0
21.0,2.429409,356.232565,912.0,4.0,23.0
22.0,2.115601,238.44617,912.0,4.0,23.0
23.0,2.302401,329.203226,912.0,4.0,23.0
24.0,2.203798,383.455104,912.0,4.0,23.0
25.0,2.113456,327.93015,912.0,4.0,23.0
26.0,2.582903,273.012464,912.0,4.0,23.0
27.0,2.379354,263.534011,912.0,4.0,23.0
28.0,2.027386,238.346177,912.0,4.0,23.0
29.0,2.181587,303.81176,912.0,4.0,23.0
30.0,2.02347,346.017778,912.0,4.0,23.0
31.0,2.343337,302.578503,912.0,4.0,23.0
32.0,2.227349,275.480684,912.0,4.0,23.0
1.0,2.774484,306.879006,1334.0,4.0,18.0
2.0,3.077959,361.121954,1334.0,4.0,18.0
3.0,2.662471,305.82742,1334.0,4.0,18.0
4.0,3.009189,252.360667,1334.0,4.0,18.0
5.0,3.082284,307.890473,1334.0,4.0,18.0
6.0,3.010549,371.391121,1334.0,4.0,18.0
7.0,2.96742,278.320287,1334.0,4.0,18.0
8.0,2.649603,324.008308,1334.0,4.0,18.0
9.0,3.079134,226.445029,1334.0,4.0,18.0
10.0,3.04819,265.784965,1334.0,4.0,18.0
11.0,2.609685,336.724161,1334.0,4.0,18.0
12.0,2.545139,242.682062,1334.0,4.0,18.0
13.0,3.063882,228.117434,1334.0,4.0,18.0
14.0,2.419031,248.766625,1334.0,4.0,18.0
15.0,2.880539,338.885947,1334.0,4.0,18.0
16.0,3.013019,266.205471,1334.0,4.0,18.0
17.0,2.812214,206.431794,1334.0,4.0,18.0
18.0,2.562582,210.986661,1334.0,4.0,18.0
19.0,2.911014,202.937726,1334.0,4.0,18.0
20.0,2.63741,328.591198,1334.0,4.0,18.0
21.0,3.095197,272.354435,1334.0,4.0,18.0
22.0,2.544951,326.354645,1334.0,4.0,18.0
23.0,2.733396,257.763384,1334.0,4.0,18.0
24.0,2.726913,196.24811,1334.0,4.0,18.0
25.0,2.458604,385.403074,1334.0,4.0,18.0
26.0,2.486847,386.218766,1334.0,4.0,18.0
27.0,2.422877,351.867924,1334.0,4.0,18.0
28.0,2.856898,239.858593,1334.0,4.0,18.0
29.0,2.536888,322.800588,1334.0,4.0,18.0
30.0,2.809127,288.436273,1334.0,4.0,18.0
31.0,2.937336,225.064349,1334.0,4.0,18.0
32.0,2.449611,275.677223,1334.0,4.0,18.0
33.0,2.434857,191.615089,1334.0,4.0,18.0
34.0,2.429846,351.118208,1334.0,4.0,18.0
35.0,2.846781,269.039848,1334.0,4.0,18.0
36.0,2.651602,118.047877,1334.0,4.0,18.0
37.0,2.955715,259.340231,1334.0,4.0,18.0
38.0,2.749596,350.824754,1334.0,4.0,18.0
39.0,2.443382,351.417494,1334.0,4.0,18.0
1.0,2.525226,343.841785,1334.0,5.0,18.0
2.0,2.953844,245.212494,1334.0,5.0,18.0
3.0,2.457834,264.513027,1334.0,5.0,18.0
4.0,2.600876,340.674573,1334.0,5.0,18.0
5.0,2.610459,233.842364,1334.0,5.0,18.0
6.0,3.068317,286.122576,1334.0,5.0,18.0
7.0,2.892473,344.021139,1334.0,5.0,18.0
8.0,2.65096,193.829487,1334.0,5.0,18.0
9.0,2.591849,239.01069,1334.0,5.0,18.0
10.0,2.92089,383.000338,1334.0,5.0,18.0
11.0,2.920752,305.609338,1334.0,5.0,18.0
12.0,2.70487,347.381506,1334.0,5.0,18.0
13.0,2.985627,268.342679,1334.0,5.0,18.0
14.0,2.721096,319.041287,1334.0,5.0,18.0
15.0,2.554921,208.45426,1334.0,5.0,18.0
16.0,2.848438,300.633235,1334.0,5.0,18.0
17.0,3.05708,288.974136,1334.0,5.0,18.0
18.0,2.848162,203.561713,1334.0,5.0,18.0
19.0,2.571972,181.544504,1334.0,5.0,18.0
